1,14,1449.1,1946.9,197.17,211.57,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
1,21,1439.8,437.58,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
2,14,1449.1,1946.9,197.17,211.57,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
2,21,1439.8,437.58,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
3,14,1449.1,1946.9,197.17,211.57,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
3,21,1439.8,437.58,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
4,14,1453.9,1936.8,205.98,221.96,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
4,21,1452.8,438.64,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
4,6,932.97,1976.2,234.22,181.99,-1,-1,-1,-1,0,2,3,1,0,5,5,2,2,3,3,10,0,0,1,0
5,14,1459.2,1926.6,214.35,232.53,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
5,21,1465.9,439.7,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
5,6,940,1964.4,247.8,193.79,-1,-1,-1,-1,0,2,3,1,0,5,5,2,2,3,3,10,0,0,1,0
6,14,1465,1916.5,221.93,243.02,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
6,21,1478.8,440.75,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
6,6,947.62,1952.5,260.52,205.72,-1,-1,-1,-1,0,2,3,1,0,5,5,2,2,3,3,10,0,0,1,0
7,14,1471,1906.4,228.69,253.43,-1,-1,-1,-1,0,2,3,1,0,5,5,1,1,2,3,10,0,0,1,0
7,21,1491.6,441.79,59.17,137.61,-1,-1,-1,-1,0,2,3,1,0,5,5,0,0,2,3,10,0,0,1,0
7,6,955.78,1940.7,271.96,217.56,-1,-1,-1,-1,0,2,3,1,0,5,5,2,2,3,3,10,0,0,1,0
